ID_INTERNO,IDENTIFICACION,NOMBRE,APELLIDO,CORREO,TELEFONO,DIRECCION,VIGENCIA,TIPO_HECHO,GENERO,ESTADO_CIVIL,NACIONALIDAD,DEPA_PRO_COLEGIO,CIUDAD_PRO_COLEGIO,DEPA_RESI,CIUDAD_RESI,MODALIDAD,METODOLOGIA,JORNADA,FACULTAD,PROGRAMA,SEMESTRE,SEDE,CONDICION_ESTUDIANTE,COLEGIO,NATURALEZA_COLEGIO,RAZA,DISCAPACIDAD,EPS,ESTRATO,METODO DE PAGO,ESTADO DE CURSO
1,1007953401,Valentina,Escobar Fernández,valentina.escobar1@uqvirtual.edu.co,3132029188,"Calle 14 # 14 - 63, Soacha",2019-2,Inscrito,Mujer,Soltero,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Soacha,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,4,Armenia,Sin info,COLEGIO GRANCOLOMBIANO (IED),Oficial,Blanca,NO APLICA,CAPITALSALUD,3,Credito propio,Cursando
2,1061077895,Andrea,Hincapié Vélez,andrea.hincapié2@uqvirtual.edu.co,3104566653,"Calle 43 # 11 - 95, Pereira",2019-2,Inscrito,Mujer,Separado,Colombiano,Sin Depto,Sin Ciudad,Risaralda,Pereira,Postgrado,Presencial,Diurna,Fac. de Educacion,Doctorado en Ciencias de la Educacion,10,Armenia,Sin info,Sin colegio,Sin info,Sin info,Sin info,CAPITALSALUD,3,Icetex,Finalizado
3,1082815887,Víctor,Ocampo Granada,víctor.ocampo3@uqvirtual.edu.co,3212171848,"Calle 43 # 13 - 66, Risaralda",2019-2,Inscrito,Hombre,Soltero,Colombiano,Caldas,Risaralda,Caldas,Risaralda,Pregrado,Presencial,Diurna,Fac. Ingenieria,Ingenieria Civil,5,Armenia,Sin info,INSTITUCION EDUCATIVA MARIA INMACULADA,Oficial,Mestiza,NO APLICA,ASMETSALUD,2,Credito propio,Abandonado
4,1068028710,Mariana,Estrada Espinoza,mariana.estrada4@uqvirtual.edu.co,3174529605,"Calle 39 # 24 - 80, Pamplona",2019-2,Inscrito,Mujer,Union Libre,Colombiano,Norte De Santander,Cucuta,Norte De Santander,Pamplona,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,1,Armenia,Sin info,CENTRO EDUCATIVO COMFANORTE,Privada,Mestiza,NO APLICA,OTRO,2,Icetex,Cursando
5,1099186925,Miguel,Hernández Cardona,miguel.hernández5@uqvirtual.edu.co,3224045692,"Calle 26 # 17 - 6, Bogotá D.C.",2019-2,Inscrito,Hombre,Soltero,Colombiano,Santander,Bucaramanga,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,1,Armenia,Sin info,IE TEC INEM CUSTODIO GARCÍA ROVIRA,Oficial,Mestiza,NO APLICA,COOMEVA EPS,4,Icetex,Cursando
6,1014341876,Pablo,Díaz Gallego,pablo.díaz6@uqvirtual.edu.co,3217336185,"Calle 23 # 3 - 59, Armenia",2019-2,Inscrito,Hombre,Soltero,Colombiano,Quindío,Armenia,Quindío,Armenia,Pregrado,Presencial,Nocturna,Fac. de Educacion,Lic. en Lenguas Modernas con enfasis en Ingles y Frances,2,Armenia,Sin info,RUFINO JOSE CUERVO CENTRO,Oficial,Blanca,NO APLICA,SISBEN,1,De contado,Abandonado
7,1021126402,Catalina,Ochoa Moreno,catalina.ochoa7@uqvirtual.edu.co,3205198856,"Calle 16 # 18 - 99, Calarca",2019-2,Inscrito,Mujer,Soltero,Colombiano,Sin Depto,Sin Ciudad,Quindío,Calarca,Postgrado,Presencial,Diurna,Fac. Ingenieria,Maestria en Ingenieria,3,Armenia,Sin info,Sin colegio,Sin info,Sin info,Sin info,SANITAS EPS,4,Icetex,Cursando
8,1019234117,Wilson,Santana Castro,wilson.santana8@uqvirtual.edu.co,3159860139,"Calle 4 # 5 - 34, Bogotá D.C.",2019-2,Inscrito,Hombre,Union Libre,Colombiano,Cundinamarca,Bogotá D.C.,Cundinamarca,Bogotá D.C.,Pregrado,Virtual,Diurna,Fac. Ciencias Humanas y Bellas Artes,CIDBA,2,Armenia,Sin info,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),Oficial,Mestiza,NO APLICA,FAMISANAR EPS,2,De contado,Cursando
9,1074259469,Marcela,Escobar Sánchez,marcela.escobar9@uqvirtual.edu.co,3141316224,"Calle 17 # 20 - 8, Pereira",2019-2,Inscrito,Mujer,Soltero,Colombiano,Risaralda,Pereira,Risaralda,Pereira,Pregrado,Distancia,Diurna,Fac. Ciencias de la Salud,Seguridad y Salud en el Trabajo,7,Pereira,Sin info,IE INEM FELIPE PEREZ,Oficial,Mestiza,NO APLICA,CAFESALUD,2,Credito propio,Cursando
10,1098702392,Sebastián,Ocampo Holguín,sebastián.ocampo10@uqvirtual.edu.co,3129332516,"Calle 5 # 20 - 2, Santiago De Cali",2019-2,Inscrito,Hombre,Soltero,Colombiano,Atlántico,Barranquilla,Valle Del Cauca,Santiago De Cali,Pregrado,Distancia,Diurna,"Fac. Ciencias Economicas, adtivas y contables",Admon. Financiera,4,Cali,Sin info,INSTITUCION EDUCATIVA DISTRITAL TECNICA HELENA DE CHAUVIN,Oficial,Afroamericana,NO APLICA,EMMSANAR,1,Credito propio,Abandonado
